Region,Crime_Type,Year,Qtr,No_of_Offences,Population_Num,Live_Register_Num,Mean_Disposable_Income,Rent_Rates,CPI_All_Items,CPI_Water_Electricity_Gas,GBP_per_Euro,USD_per_Euro,Sunshine_Hours,Rainfall(mm),At_Risk_of_Poverty_Rate,Consistent_Poverty_Rate,Daily_Internet_Users,Garda’_Num,Marriages_Num,Government_Party,Tobacco_gm_per_capita,Alcohol_ltr_per_capita,Pop_In_Good_Health
Dublin,Theft and related offences,2007,1,7832,1231200,117890,60874,1344.82,4.9,20.4,0.6802,1.3242,288,212.7,11.7,5,43,16776,3401,Fianna F‡il,1605,13.2,84
Dublin,Theft and related offences,2007,2,8509,1231200,119955,60874,1350.09,4.9,20.4,0.6756,1.3419,599.2,184.1,11.7,5,43,16776,5558,Fianna F‡il,1605,13.2,84
Dublin,Theft and related offences,2007,3,8851,1231200,127708,60874,1358.33,4.9,20.4,0.6889,1.3896,440.6,253.8,11.7,5,43,16776,8949,Fianna F‡il,1605,13.2,84
Dublin,Theft and related offences,2007,4,8786,1231200,119210,60874,1364.62,4.9,20.4,0.7206,1.457,230.7,133.8,11.7,5,43,16776,4848,Fianna F‡il,1605,13.2,84
Dublin,Theft and related offences,2008,1,8842,1252700,134054,61496,1347.88,4.1,9.6,0.7749,1.5527,275.2,214,9.8,3.5,47,17799,3228,Fianna F‡il,1439,12.2,84.3
Dublin,Theft and related offences,2008,2,9084,1252700,146478,61496,1346.66,4.1,9.6,0.7915,1.5553,603.7,136.1,9.8,3.5,47,17799,5351,Fianna F‡il,1439,12.2,84.3
Dublin,Theft and related offences,2008,3,8371,1252700,171010,61496,1315.39,4.1,9.6,0.7992,1.437,371.2,415.7,9.8,3.5,47,17799,8751,Fianna F‡il,1439,12.2,84.3
Dublin,Theft and related offences,2008,4,8055,1252700,188013,61496,1292.81,4.1,9.6,0.9045,1.3449,262,176.5,9.8,3.5,47,17799,4857,Fianna F‡il,1439,12.2,84.3
Dublin,Theft and related offences,2009,1,8176,1258500,244840,58759,1256,-4.5,-22,0.9197,1.305,266.5,144.3,8.3,4.4,51,17579,3450,Fianna F‡il,1360,11,83.1
Dublin,Theft and related offences,2009,2,8801,1258500,287136,58759,1215.51,-4.5,-22,0.8567,1.4016,619.9,222.8,8.3,4.4,51,17579,5432,Fianna F‡il,1360,11,83.1
Dublin,Theft and related offences,2009,3,8962,1258500,311749,58759,1173.75,-4.5,-22,0.8914,1.4562,445.6,247.2,8.3,4.4,51,17579,8047,Fianna F‡il,1360,11,83.1
Dublin,Theft and related offences,2009,4,8374,1258500,300482,58759,1124.32,-4.5,-22,0.8997,1.4614,227.1,305.9,8.3,4.4,51,17579,4698,Fianna F‡il,1360,11,83.1
Dublin,Theft and related offences,2010,1,8195,1259600,311064,57023,1084.07,-1,1.3,0.9016,1.3569,305.3,134.2,11.4,5.5,57,16544,3372,Fianna F‡il,1226,11.6,82.8
Dublin,Theft and related offences,2010,2,9487,1259600,317658,57023,1060.46,-1,1.3,0.8277,1.2209,632.5,118.8,11.4,5.5,57,16544,4993,Fianna F‡il,1226,11.6,82.8
Dublin,Theft and related offences,2010,3,8986,1259600,331979,57023,1049.07,-1,1.3,0.8399,1.3067,498.8,228.2,11.4,5.5,57,16544,7774,Fianna F‡il,1226,11.6,82.8
Dublin,Theft and related offences,2010,4,8887,1259600,304797,57023,1026.91,-1,1.3,0.8481,1.322,281.2,187.7,11.4,5.5,57,16544,4455,Fianna F‡il,1226,11.6,82.8
Dublin,Theft and related offences,2011,1,9162,1261500,312757,54111,1021.95,2.6,9.7,0.8665,1.3999,326.4,124.7,9.5,4,66,16843,3047,Fine Gael,1241,11.7,83.2
Dublin,Theft and related offences,2011,2,8825,1261500,319436,54111,1027.44,2.6,9.7,0.8875,1.4388,588.3,129.7,9.5,4,66,16843,5015,Fine Gael,1241,11.7,83.2
Dublin,Theft and related offences,2011,3,9385,1261500,331193,54111,1034.99,2.6,9.7,0.8717,1.377,419.1,169.6,9.5,4,66,16843,7532,Fine Gael,1241,11.7,83.2
Dublin,Theft and related offences,2011,4,9361,1261500,306935,54111,1027.48,2.6,9.7,0.8441,1.3179,217.9,248.1,9.5,4,66,16843,4261,Fine Gael,1241,11.7,83.2
Dublin,Theft and related offences,2012,1,9089,1262900,311985,51589,1027.84,1.7,0.6,0.8345,1.3201,288,158.8,10.3,6.1,67,16843,2812,Fine Gael,1163,11.5,82.7
Dublin,Theft and related offences,2012,2,9205,1262900,317220,51589,1031.78,1.7,0.6,0.8058,1.2526,484.6,298.5,10.3,6.1,67,16843,5411,Fine Gael,1163,11.5,82.7
Dublin,Theft and related offences,2012,3,9956,1262900,326025,51589,1041.66,1.7,0.6,0.7982,1.2856,447.7,247.1,10.3,6.1,67,16843,7712,Fine Gael,1163,11.5,82.7
Dublin,Theft and related offences,2012,4,9479,1262900,301172,51589,1041.95,1.7,0.6,0.8124,1.3119,254,194.8,10.3,6.1,67,16843,4778,Fine Gael,1163,11.5,82.7
Dublin,Theft and related offences,2013,1,9283,1262400,306829,50938,1046.5,0.5,0.7,0.86,1.2964,172.4,227.2,9.1,4.9,71,16328,3642,Fine Gael,1026,10.6,82
Dublin,Theft and related offences,2013,2,9812,1262400,307838,50938,1055.33,0.5,0.7,0.8519,1.3189,570,143.3,9.1,4.9,71,16328,5444,Fine Gael,1026,10.6,82
Dublin,Theft and related offences,2013,3,10486,1262400,313238,50938,1070.88,0.5,0.7,0.8417,1.3348,506,156.8,9.1,4.9,71,16328,7760,Fine Gael,1026,10.6,82
Dublin,Theft and related offences,2013,4,9982,1262400,284758,50938,1077.33,0.5,0.7,0.8364,1.3704,227.1,249.8,9.1,4.9,71,16328,4924,Fine Gael,1026,10.6,82
Dublin,Theft and related offences,2014,1,9034,1274600,285949,50847,1088.48,0.2,0,0.8317,1.3823,286.5,242.8,10.3,5.1,74,16329,3624,Fine Gael,982,11,82.5
Dublin,Theft and related offences,2014,2,9971,1274600,286944,50847,1102.96,0.2,0,0.8041,1.3592,534.8,161.9,10.3,5.1,74,16329,5567,Fine Gael,982,11,82.5
Dublin,Theft and related offences,2014,3,9873,1274600,287464,50847,1125.97,0.2,0,0.7911,1.2901,482.9,234.5,10.3,5.1,74,16329,8048,Fine Gael,982,11,82.5
Dublin,Theft and related offences,2014,4,10334,1274600,255873,50847,1143.08,0.2,0,0.7883,1.2331,260.2,287.3,10.3,5.1,74,16329,4956,Fine Gael,982,11,82.5
Northern,Theft and related offences,2007,1,1507,483900,69252,40180,558.45,4.9,20.4,0.6802,1.3242,241.7,290.5,21.7,8.4,19,16776,3401,Fianna F‡il,1605,13.2,84
Northern,Theft and related offences,2007,2,1571,483900,69030,40180,561.2,4.9,20.4,0.6756,1.3419,642.3,217.7,21.7,8.4,19,16776,5558,Fianna F‡il,1605,13.2,84
Northern,Theft and related offences,2007,3,1471,483900,73046,40180,556.81,4.9,20.4,0.6889,1.3896,439.1,271.1,21.7,8.4,19,16776,8949,Fianna F‡il,1605,13.2,84
Northern,Theft and related offences,2007,4,1427,483900,70325,40180,568.73,4.9,20.4,0.7206,1.457,144.3,288.5,21.7,8.4,19,16776,4848,Fianna F‡il,1605,13.2,84
Northern,Theft and related offences,2008,1,1400,496500,82216,41512,573.34,4.1,9.6,0.7749,1.5527,220.5,421.2,16.5,4.8,22,17799,3228,Fianna F‡il,1439,12.2,84.3
Northern,Theft and related offences,2008,2,1607,496500,89612,41512,576.92,4.1,9.6,0.7915,1.5553,639.4,136.4,16.5,4.8,22,17799,5351,Fianna F‡il,1439,12.2,84.3
Northern,Theft and related offences,2008,3,1674,496500,105227,41512,567.27,4.1,9.6,0.7992,1.437,345.8,338.9,16.5,4.8,22,17799,8751,Fianna F‡il,1439,12.2,84.3
Northern,Theft and related offences,2008,4,1590,496500,117909,41512,564.74,4.1,9.6,0.9045,1.3449,166.8,346.1,16.5,4.8,22,17799,4857,Fianna F‡il,1439,12.2,84.3
Northern,Theft and related offences,2009,1,1386,508200,151440,38247,555.15,-4.5,-22,0.9197,1.305,223.5,226.8,14.1,5.4,27,17579,3450,Fianna F‡il,1360,11,83.1
Northern,Theft and related offences,2009,2,1544,508200,168537,38247,543.46,-4.5,-22,0.8567,1.4016,660.5,239.2,14.1,5.4,27,17579,5432,Fianna F‡il,1360,11,83.1
Northern,Theft and related offences,2009,3,1614,508200,180784,38247,534.37,-4.5,-22,0.8914,1.4562,445.9,307.5,14.1,5.4,27,17579,8047,Fianna F‡il,1360,11,83.1
Northern,Theft and related offences,2009,4,1373,508200,175043,38247,531.63,-4.5,-22,0.8997,1.4614,174.8,393.2,14.1,5.4,27,17579,4698,Fianna F‡il,1360,11,83.1
Northern,Theft and related offences,2010,1,1328,511500,183377,38538,524.4,-1,1.3,0.9016,1.3569,277.4,238.7,13.7,7.4,33,16544,3372,Fianna F‡il,1226,11.6,82.8
Northern,Theft and related offences,2010,2,1573,511500,186545,38538,516.53,-1,1.3,0.8277,1.2209,572.5,147.5,13.7,7.4,33,16544,4993,Fianna F‡il,1226,11.6,82.8
Northern,Theft and related offences,2010,3,1444,511500,194227,38538,510.16,-1,1.3,0.8399,1.3067,400.1,339.6,13.7,7.4,33,16544,7774,Fianna F‡il,1226,11.6,82.8
Northern,Theft and related offences,2010,4,1273,511500,182548,38538,500.73,-1,1.3,0.8481,1.322,213.4,254.4,13.7,7.4,33,16544,4455,Fianna F‡il,1226,11.6,82.8
Northern,Theft and related offences,2011,1,1418,515500,187478,34091,489.3,2.6,9.7,0.8665,1.3999,273.8,252.7,19.8,9.7,40,16843,3047,Fine Gael,1241,11.7,83.2
Northern,Theft and related offences,2011,2,1408,515500,189655,34091,482.37,2.6,9.7,0.8875,1.4388,553.6,251.1,19.8,9.7,40,16843,5015,Fine Gael,1241,11.7,83.2
Northern,Theft and related offences,2011,3,1357,515500,195648,34091,478.97,2.6,9.7,0.8717,1.377,365.9,261.9,19.8,9.7,40,16843,7532,Fine Gael,1241,11.7,83.2
Northern,Theft and related offences,2011,4,1140,515500,182981,34091,472.85,2.6,9.7,0.8441,1.3179,153.4,465.6,19.8,9.7,40,16843,4261,Fine Gael,1241,11.7,83.2
Northern,Theft and related offences,2012,1,1268,510900,184989,30186,465.75,1.7,0.6,0.8345,1.3201,284.5,287.1,24.5,12.7,50,16843,2812,Fine Gael,1163,11.5,82.7
Northern,Theft and related offences,2012,2,1275,510900,186071,30186,461.9,1.7,0.6,0.8058,1.2526,552.1,238.7,24.5,12.7,50,16843,5411,Fine Gael,1163,11.5,82.7
Northern,Theft and related offences,2012,3,1302,510900,191256,30186,458.11,1.7,0.6,0.7982,1.2856,404.5,317.8,24.5,12.7,50,16843,7712,Fine Gael,1163,11.5,82.7
Northern,Theft and related offences,2012,4,1170,510900,177839,30186,453.02,1.7,0.6,0.8124,1.3119,190.2,360.9,24.5,12.7,50,16843,4778,Fine Gael,1163,11.5,82.7
Northern,Theft and related offences,2013,1,1189,509600,180616,31936,447.92,0.5,0.7,0.86,1.2964,252.1,275.5,25.4,18.5,51,16328,3642,Fine Gael,1026,10.6,82
Northern,Theft and related offences,2013,2,1338,509600,179821,31936,445.38,0.5,0.7,0.8519,1.3189,529.6,249.8,25.4,18.5,51,16328,5444,Fine Gael,1026,10.6,82
Northern,Theft and related offences,2013,3,1341,509600,182798,31936,444.2,0.5,0.7,0.8417,1.3348,386.1,218.7,25.4,18.5,51,16328,7760,Fine Gael,1026,10.6,82
Northern,Theft and related offences,2013,4,1160,509600,167366,31936,442.04,0.5,0.7,0.8364,1.3704,187.1,384.1,25.4,18.5,51,16328,4924,Fine Gael,1026,10.6,82
Northern,Theft and related offences,2014,1,1129,503900,167658,33490,438.26,0.2,0,0.8317,1.3823,257.4,428.3,22.5,14.2,55,16329,3624,Fine Gael,982,11,82.5
Northern,Theft and related offences,2014,2,1251,503900,167114,33490,436.58,0.2,0,0.8041,1.3592,561.2,164.2,22.5,14.2,55,16329,5567,Fine Gael,982,11,82.5
Northern,Theft and related offences,2014,3,1317,503900,167903,33490,440.74,0.2,0,0.7911,1.2901,554.3,205.2,22.5,14.2,55,16329,8048,Fine Gael,982,11,82.5
Northern,Theft and related offences,2014,4,1344,503900,153033,33490,439.72,0.2,0,0.7883,1.2331,170.9,417.3,22.5,14.2,55,16329,4956,Fine Gael,982,11,82.5
Western,Theft and related offences,2007,1,1506,623200,45926,41105,925.15,4.9,20.4,0.6802,1.3242,290.8,224.2,18.8,3.1,27,16776,3401,Fianna F‡il,1605,13.2,84
Western,Theft and related offences,2007,2,1684,623200,46145,41105,934.56,4.9,20.4,0.6756,1.3419,616.1,184.5,18.8,3.1,27,16776,5558,Fianna F‡il,1605,13.2,84
Western,Theft and related offences,2007,3,1808,623200,50135,41105,343.09,4.9,20.4,0.6889,1.3896,497.6,245.7,18.8,3.1,27,16776,8949,Fianna F‡il,1605,13.2,84
Western,Theft and related offences,2007,4,1463,623200,47096,41105,937.71,4.9,20.4,0.7206,1.457,192.3,264.6,18.8,3.1,27,16776,4848,Fianna F‡il,1605,13.2,84
Western,Theft and related offences,2008,1,1515,631300,54800,41215,905.61,4.1,9.6,0.7749,1.5527,245,384.8,17.2,4.2,34,17799,3228,Fianna F‡il,1439,12.2,84.3
Western,Theft and related offences,2008,2,1665,631300,59729,41215,889.36,4.1,9.6,0.7915,1.5553,593.4,195.9,17.2,4.2,34,17799,5351,Fianna F‡il,1439,12.2,84.3
Western,Theft and related offences,2008,3,1698,631300,70407,41215,881.06,4.1,9.6,0.7992,1.437,377,363.8,17.2,4.2,34,17799,8751,Fianna F‡il,1439,12.2,84.3
Western,Theft and related offences,2008,4,1709,631300,77841,41215,859.8,4.1,9.6,0.9045,1.3449,234.2,323.7,17.2,4.2,34,17799,4857,Fianna F‡il,1439,12.2,84.3
Western,Theft and related offences,2009,1,1565,638100,100042,40004,842.06,-4.5,-22,0.9197,1.305,263.1,200.1,14.1,5.7,40,17579,3450,Fianna F‡il,1360,11,83.1
Western,Theft and related offences,2009,2,1724,638100,111816,40004,830.31,-4.5,-22,0.8567,1.4016,647.6,248.2,14.1,5.7,40,17579,5432,Fianna F‡il,1360,11,83.1
Western,Theft and related offences,2009,3,1663,638100,122578,40004,819.05,-4.5,-22,0.8914,1.4562,478.5,292.3,14.1,5.7,40,17579,8047,Fianna F‡il,1360,11,83.1
Western,Theft and related offences,2009,4,1400,638100,116076,40004,792.61,-4.5,-22,0.8997,1.4614,252.3,422.9,14.1,5.7,40,17579,4698,Fianna F‡il,1360,11,83.1
Western,Theft and related offences,2010,1,1501,638400,121848,39398,779.39,-1,1.3,0.9016,1.3569,344.6,147.8,12.1,2.8,48,16544,3372,Fianna F‡il,1226,11.6,82.8
Western,Theft and related offences,2010,2,1489,638400,121933,39398,773.52,-1,1.3,0.8277,1.2209,649.5,163.3,12.1,2.8,48,16544,4993,Fianna F‡il,1226,11.6,82.8
